E,dup,ddn,pup,pdn,octup,octdn,totup,totdn
-3.010033,0.345492,-0.015937,0.564528,-0.001241,0.608721,-0.608721,1.518741,-0.625899
-2.929766,0.343565,-0.016518,0.571046,-0.001286,0.560369,-0.560369,1.474979,-0.578173
-2.849498,0.341430,-0.017127,0.577094,-0.001334,0.516826,-0.516826,1.435350,-0.535288
-2.769231,0.339123,-0.017768,0.582656,-0.001383,0.477638,-0.477638,1.399417,-0.496789
-2.688963,0.336680,-0.018442,0.587703,-0.001436,0.442370,-0.442370,1.366752,-0.462247
-2.608696,0.334132,-0.019151,0.592190,-0.001491,0.410618,-0.410618,1.336940,-0.431260
-2.528428,0.331507,-0.019899,0.596065,-0.001548,0.382008,-0.382008,1.309580,-0.403456
-2.448161,0.328827,-0.020689,0.599266,-0.001609,0.356198,-0.356198,1.284291,-0.378496
-2.367893,0.326115,-0.021522,0.601723,-0.001674,0.332877,-0.332877,1.260714,-0.356073
-2.287625,0.323384,-0.022404,0.603365,-0.001742,0.311765,-0.311765,1.238515,-0.335911
-2.207358,0.320648,-0.023338,0.604124,-0.001813,0.292614,-0.292614,1.217386,-0.317766
-2.127090,0.317914,-0.024328,0.603935,-0.001889,0.275202,-0.275202,1.197050,-0.301420
-2.046823,0.315189,-0.025380,0.602742,-0.001970,0.259332,-0.259332,1.177263,-0.286682
-1.966555,0.312476,-0.026498,0.600504,-0.002056,0.244831,-0.244831,1.157810,-0.273384
-1.886288,0.309775,-0.027688,0.597194,-0.002146,0.231548,-0.231548,1.138516,-0.261382
-1.806020,0.307086,-0.028958,0.592802,-0.002243,0.219348,-0.219348,1.119236,-0.250550
-1.725753,0.304407,-0.030315,0.587338,-0.002346,0.208117,-0.208117,1.099862,-0.240778
-1.645485,0.301734,-0.031768,0.580830,-0.002456,0.197750,-0.197750,1.080314,-0.231973
-1.565217,0.299063,-0.033325,0.573324,-0.002574,0.188158,-0.188158,1.060545,-0.224057
-1.484950,0.296390,-0.034998,0.564880,-0.002700,0.179264,-0.179264,1.040534,-0.216962
-1.404682,0.293707,-0.036800,0.555575,-0.002835,0.170998,-0.170998,1.020280,-0.210633
-1.324415,0.291010,-0.038745,0.545495,-0.002981,0.163299,-0.163299,0.999803,-0.205025
-1.244147,0.288290,-0.040850,0.534733,-0.003138,0.156114,-0.156114,0.979137,-0.200102
-1.163880,0.285541,-0.043132,0.523388,-0.003308,0.149396,-0.149396,0.958324,-0.195836
-1.083612,0.282753,-0.045616,0.511557,-0.003492,0.143103,-0.143103,0.937413,-0.192211
-1.003344,0.279918,-0.048327,0.499339,-0.003692,0.137199,-0.137199,0.916456,-0.189217
-0.923077,0.277026,-0.051295,0.486825,-0.003910,0.131649,-0.131649,0.895500,-0.186854
-0.842809,0.274067,-0.054557,0.474101,-0.004148,0.126426,-0.126426,0.874594,-0.185131
-0.762542,0.271030,-0.058156,0.461244,-0.004410,0.121503,-0.121503,0.853777,-0.184069
-0.682274,0.267904,-0.062146,0.448324,-0.004698,0.116855,-0.116855,0.833084,-0.183699
-0.602007,0.264679,-0.066589,0.435400,-0.005017,0.112463,-0.112463,0.812541,-0.184069
-0.521739,0.261343,-0.071564,0.422520,-0.005372,0.108306,-0.108306,0.792169,-0.185243
-0.441472,0.257887,-0.077166,0.409728,-0.005770,0.104368,-0.104368,0.771982,-0.187304
