# E,I32,I12,Ibg,Itot
444.214047,0.000338,0.000912,0.131518,0.132692
444.481605,0.000328,0.000879,0.131973,0.133105
444.749164,0.000319,0.000848,0.132422,0.133512
445.016722,0.000310,0.000817,0.132860,0.133911
445.284281,0.000301,0.000788,0.133331,0.134344
445.551839,0.000292,0.000760,0.133790,0.134766
445.819398,0.000283,0.000733,0.134261,0.135202
446.086957,0.000275,0.000707,0.134726,0.135632
446.354515,0.000267,0.000682,0.135178,0.136051
446.622074,0.000259,0.000658,0.135628,0.136469
446.889632,0.000251,0.000635,0.136091,0.136901
447.157191,0.000243,0.000613,0.136532,0.137312
447.424749,0.000236,0.000592,0.136965,0.137716
447.692308,0.000228,0.000571,0.137390,0.138114
447.959866,0.000221,0.000551,0.137785,0.138481
448.227425,0.000214,0.000532,0.138211,0.138881
448.494983,0.000207,0.000513,0.138658,0.139302
448.762542,0.000200,0.000495,0.139073,0.139692
449.030100,0.000193,0.000478,0.139509,0.140105
449.297659,0.000187,0.000461,0.139925,0.140497
449.565217,0.000180,0.000445,0.140329,0.140878
449.832776,0.000174,0.000429,0.140698,0.141226
450.100334,0.000168,0.000414,0.141116,0.141622
450.367893,0.000162,0.000399,0.141534,0.142019
450.635452,0.000156,0.000385,0.141935,0.142400
450.903010,0.000150,0.000371,0.142346,0.142791
451.170569,0.000144,0.000358,0.142749,0.143175
451.438127,0.000138,0.000345,0.143153,0.143560
451.705686,0.000133,0.000333,0.143563,0.143952
451.973244,0.000127,0.000320,0.143959,0.144331
452.240803,0.000122,0.000309,0.144380,0.144735
452.508361,0.000117,0.000297,0.144778,0.145116
452.775920,0.000112,0.000286,0.145161,0.145482
453.043478,0.000107,0.000275,0.145531,0.145837
453.311037,0.000102,0.000265,0.145963,0.146253
453.578595,0.000097,0.000255,0.146347,0.146622
453.846154,0.000092,0.000245,0.146697,0.146957
454.113712,0.000087,0.000235,0.147059,0.147305
454.381271,0.000082,0.000226,0.147421,0.147653
454.648829,0.000078,0.000216,0.147772,0.147991
454.916388,0.000073,0.000208,0.148114,0.148319
455.183946,0.000069,0.000199,0.148449,0.148641
455.451505,0.000064,0.000191,0.148796,0.148975
455.719064,0.000060,0.000182,0.149156,0.149322
455.986622,0.000056,0.000174,0.149512,0.149666
456.254181,0.000052,0.000167,0.149852,0.149994
456.521739,0.000048,0.000159,0.150168,0.150299
456.789298,0.000044,0.000152,0.150513,0.150633
457.056856,0.000040,0.000145,0.150840,0.150948
457.324415,0.000036,0.000138,0.151177,0.151274
457.591973,0.000032,0.000131,0.151508,0.151595
457.859532,0.000028,0.000124,0.151868,0.151944
458.127090,0.000024,0.000118,0.152200,0.152265
458.394649,0.000021,0.000111,0.152558,0.152614
458.662207,0.000017,0.000105,0.152907,0.152953
458.929766,0.000014,0.000099,0.153231,0.153268
459.197324,0.000010,0.000093,0.153559,0.153586
459.464883,0.000007,0.000087,0.153893,0.153911
459.732441,0.000003,0.000082,0.154195,0.154204
460.000000,0.000000,0.000076,0.154504,0.154504
