E,dup,ddn,pup,pdn,octup,octdn,totup,totdn
6.862876,0.104259,-0.151959,0.010160,-0.007717,0.004293,-0.004293,0.118713,-0.163970
6.943144,0.105248,-0.152300,0.010016,-0.007531,0.004186,-0.004186,0.119449,-0.164017
7.023411,0.106034,-0.152880,0.009867,-0.007369,0.004080,-0.004080,0.119981,-0.164328
7.103679,0.106589,-0.153633,0.009713,-0.007225,0.003976,-0.003976,0.120278,-0.164834
7.183946,0.106890,-0.154497,0.009552,-0.007096,0.003874,-0.003874,0.120316,-0.165467
7.264214,0.106914,-0.155412,0.009382,-0.006980,0.003773,-0.003773,0.120069,-0.166165
7.344482,0.106644,-0.156319,0.009202,-0.006873,0.003675,-0.003675,0.119521,-0.166867
7.424749,0.106065,-0.157167,0.009011,-0.006772,0.003578,-0.003578,0.118655,-0.167516
7.505017,0.105171,-0.157903,0.008808,-0.006674,0.003483,-0.003483,0.117462,-0.168060
7.585284,0.103955,-0.158483,0.008593,-0.006578,0.003390,-0.003390,0.115938,-0.168450
7.665552,0.102421,-0.158864,0.008365,-0.006482,0.003298,-0.003298,0.114084,-0.168643
7.745819,0.100574,-0.159009,0.008125,-0.006383,0.003208,-0.003208,0.111907,-0.168599
7.826087,0.098429,-0.158885,0.007874,-0.006280,0.003119,-0.003119,0.109421,-0.168284
7.906355,0.096001,-0.158465,0.007612,-0.006172,0.003032,-0.003032,0.106644,-0.167669
7.986622,0.093313,-0.157725,0.007340,-0.006058,0.002946,-0.002946,0.103599,-0.166729
8.066890,0.090392,-0.156647,0.007061,-0.005937,0.002862,-0.002862,0.100315,-0.165446
8.147157,0.087268,-0.155217,0.006776,-0.005808,0.002779,-0.002779,0.096823,-0.163804
8.227425,0.083973,-0.153428,0.006487,-0.005670,0.002698,-0.002698,0.093158,-0.161796
8.307692,0.080543,-0.151278,0.006197,-0.005524,0.002618,-0.002618,0.089357,-0.159419
8.387960,0.077011,-0.148768,0.005906,-0.005368,0.002539,-0.002539,0.085456,-0.156676
8.468227,0.073415,-0.145909,0.005618,-0.005205,0.002461,-0.002461,0.081494,-0.153575
8.548495,0.069788,-0.142715,0.005334,-0.005033,0.002385,-0.002385,0.077507,-0.150133
8.628763,0.066162,-0.139205,0.005056,-0.004853,0.002310,-0.002310,0.073528,-0.146368
8.709030,0.062568,-0.135404,0.004786,-0.004667,0.002236,-0.002236,0.069590,-0.142307
8.789298,0.059032,-0.131342,0.004524,-0.004475,0.002164,-0.002164,0.065720,-0.137981
8.869565,0.055578,-0.127053,0.004273,-0.004279,0.002092,-0.002092,0.061943,-0.133424
8.949833,0.052226,-0.122574,0.004032,-0.004079,0.002022,-0.002022,0.058280,-0.128676
9.030100,0.048993,-0.117946,0.003802,-0.003878,0.001953,-0.001953,0.054748,-0.123776
9.110368,0.045890,-0.113208,0.003584,-0.003676,0.001885,-0.001885,0.051358,-0.118769
9.190635,0.042926,-0.108403,0.003377,-0.003476,0.001818,-0.001818,0.048120,-0.113696
9.270903,0.040106,-0.103572,0.003181,-0.003278,0.001752,-0.001752,0.045039,-0.108602
9.351171,0.037434,-0.098755,0.002996,-0.003084,0.001687,-0.001687,0.042117,-0.103525
9.431438,0.034909,-0.093989,0.002822,-0.002895,0.001623,-0.001623,0.039354,-0.098506
9.511706,0.032528,-0.089308,0.002658,-0.002711,0.001560,-0.001560,0.036746,-0.093579
9.591973,0.030287,-0.084743,0.002503,-0.002535,0.001498,-0.001498,0.034288,-0.088776
9.672241,0.028181,-0.080321,0.002356,-0.002366,0.001437,-0.001437,0.031974,-0.084124
9.752508,0.026203,-0.076064,0.002218,-0.002206,0.001376,-0.001376,0.029798,-0.079646
9.832776,0.024346,-0.071990,0.002087,-0.002053,0.001317,-0.001317,0.027750,-0.075360
9.913043,0.022602,-0.068114,0.001963,-0.001909,0.001259,-0.001259,0.025823,-0.071282
9.993311,0.020963,-0.064445,0.001844,-0.001773,0.001201,-0.001201,0.024009,-0.067419
