E,dup,ddn,pup,pdn,octup,octdn,totup,totdn
-2.528428,0.498134,-0.498134,0.237201,-0.237201,0.092825,-0.092825,0.828160,-0.828160
-2.448161,0.518232,-0.518232,0.246261,-0.246261,0.088410,-0.088410,0.852903,-0.852903
-2.367893,0.535999,-0.535999,0.254384,-0.254384,0.084331,-0.084331,0.874713,-0.874713
-2.287625,0.550943,-0.550943,0.261172,-0.261172,0.080548,-0.080548,0.892662,-0.892662
-2.207358,0.562630,-0.562630,0.266266,-0.266266,0.077031,-0.077031,0.905926,-0.905926
-2.127090,0.570707,-0.570707,0.269368,-0.269368,0.073752,-0.073752,0.913827,-0.913827
-2.046823,0.574924,-0.574924,0.270260,-0.270260,0.070688,-0.070688,0.915872,-0.915872
-1.966555,0.575145,-0.575145,0.268818,-0.268818,0.067818,-0.067818,0.911780,-0.911780
-1.886288,0.571355,-0.571355,0.265020,-0.265020,0.065124,-0.065124,0.901499,-0.901499
-1.806020,0.563667,-0.563667,0.258944,-0.258944,0.062591,-0.062591,0.885201,-0.885201
-1.725753,0.552306,-0.552306,0.250765,-0.250765,0.060204,-0.060204,0.863276,-0.863276
-1.645485,0.537606,-0.537606,0.240739,-0.240739,0.057953,-0.057953,0.836298,-0.836298
-1.565217,0.519980,-0.519980,0.229182,-0.229182,0.055826,-0.055826,0.804988,-0.804988
-1.484950,0.499908,-0.499908,0.216451,-0.216451,0.053813,-0.053813,0.770172,-0.770172
-1.404682,0.477903,-0.477903,0.202921,-0.202921,0.051905,-0.051905,0.732728,-0.732728
-1.324415,0.454493,-0.454493,0.188957,-0.188957,0.050095,-0.050095,0.693546,-0.693546
-1.244147,0.430195,-0.430195,0.174905,-0.174905,0.048377,-0.048377,0.653477,-0.653477
-1.163880,0.405496,-0.405496,0.161066,-0.161066,0.046742,-0.046742,0.613304,-0.613304
-1.083612,0.380834,-0.380834,0.147693,-0.147693,0.045187,-0.045187,0.573714,-0.573714
-1.003344,0.356591,-0.356591,0.134986,-0.134986,0.043704,-0.043704,0.535282,-0.535282
-0.923077,0.333087,-0.333087,0.123085,-0.123085,0.042291,-0.042291,0.498463,-0.498463
-0.842809,0.310573,-0.310573,0.112082,-0.112082,0.040942,-0.040942,0.463597,-0.463597
-0.762542,0.289237,-0.289237,0.102019,-0.102019,0.039653,-0.039653,0.430909,-0.430909
-0.682274,0.269207,-0.269207,0.092901,-0.092901,0.038420,-0.038420,0.400529,-0.400529
-0.602007,0.250558,-0.250558,0.084704,-0.084704,0.037241,-0.037241,0.372503,-0.372503
-0.521739,0.233321,-0.233321,0.077379,-0.077379,0.036112,-0.036112,0.346811,-0.346811
-0.441472,0.217488,-0.217488,0.070864,-0.070864,0.035030,-0.035030,0.323382,-0.323382
-0.361204,0.203024,-0.203024,0.065090,-0.065090,0.033992,-0.033992,0.302106,-0.302106
-0.280936,0.189874,-0.189874,0.059982,-0.059982,0.032996,-0.032996,0.282853,-0.282853
-0.200669,0.177969,-0.177969,0.055470,-0.055470,0.032040,-0.032040,0.265478,-0.265478
-0.120401,0.167228,-0.167228,0.051483,-0.051483,0.031121,-0.031121,0.249833,-0.249833
-0.040134,0.157572,-0.157572,0.047958,-0.047958,0.030238,-0.030238,0.235768,-0.235768
0.040134,0.148917,-0.148917,0.044839,-0.044839,0.029389,-0.029389,0.223144,-0.223144
0.120401,0.141183,-0.141183,0.042074,-0.042074,0.028571,-0.028571,0.211828,-0.211828
0.200669,0.134295,-0.134295,0.039619,-0.039619,0.027784,-0.027784,0.201698,-0.201698
0.280936,0.128183,-0.128183,0.037435,-0.037435,0.027025,-0.027025,0.192643,-0.192643
0.361204,0.122782,-0.122782,0.035490,-0.035490,0.026293,-0.026293,0.184565,-0.184565
0.441472,0.118035,-0.118035,0.033754,-0.033754,0.025588,-0.025588,0.177377,-0.177377
0.521739,0.113889,-0.113889,0.032204,-0.032204,0.024907,-0.024907,0.171001,-0.171001
0.602007,0.110300,-0.110300,0.030820,-0.030820,0.024250,-0.024250,0.165371,-0.165371
0.682274,0.107229,-0.107229,0.029584,-0.029584,0.023615,-0.023615,0.160428,-0.160428
