E,dup,ddn,pup,pdn,octup,octdn,totup,totdn
4.374582,0.001369,-0.138026,0.002581,-0.007619,0.003728,-0.003728,0.007678,-0.149373
4.454849,0.001336,-0.116373,0.002513,-0.006345,0.003636,-0.003636,0.007484,-0.126353
4.535117,0.001303,-0.099410,0.002447,-0.005373,0.003545,-0.003545,0.007295,-0.108328
4.615385,0.001272,-0.086044,0.002382,-0.004626,0.003457,-0.003457,0.007111,-0.094127
4.695652,0.001241,-0.075409,0.002319,-0.004045,0.003372,-0.003372,0.006932,-0.082826
4.775920,0.001211,-0.066837,0.002258,-0.003585,0.003288,-0.003288,0.006757,-0.073711
4.856187,0.001182,-0.059827,0.002199,-0.003216,0.003207,-0.003207,0.006588,-0.066249
4.936455,0.001153,-0.054007,0.002142,-0.002912,0.003127,-0.003127,0.006422,-0.060046
5.016722,0.001125,-0.049103,0.002086,-0.002659,0.003050,-0.003050,0.006261,-0.054813
5.096990,0.001098,-0.044918,0.002031,-0.002444,0.002975,-0.002975,0.006104,-0.050337
5.177258,0.001072,-0.041302,0.001978,-0.002260,0.002901,-0.002901,0.005951,-0.046463
5.257525,0.001046,-0.038146,0.001927,-0.002098,0.002829,-0.002829,0.005802,-0.043074
5.337793,0.001021,-0.035367,0.001876,-0.001956,0.002759,-0.002759,0.005656,-0.040083
5.418060,0.000996,-0.032901,0.001828,-0.001830,0.002691,-0.002691,0.005514,-0.037422
5.498328,0.000972,-0.030699,0.001780,-0.001717,0.002624,-0.002624,0.005376,-0.035040
5.578595,0.000948,-0.028720,0.001734,-0.001616,0.002559,-0.002559,0.005241,-0.032894
5.658863,0.000925,-0.026933,0.001688,-0.001524,0.002495,-0.002495,0.005109,-0.030952
5.739130,0.000903,-0.025312,0.001644,-0.001440,0.002433,-0.002433,0.004980,-0.029185
5.819398,0.000881,-0.023836,0.001601,-0.001363,0.002372,-0.002372,0.004854,-0.027571
5.899666,0.000859,-0.022486,0.001559,-0.001293,0.002313,-0.002313,0.004731,-0.026092
5.979933,0.000838,-0.021249,0.001518,-0.001228,0.002255,-0.002255,0.004611,-0.024731
6.060201,0.000818,-0.020110,0.001479,-0.001168,0.002198,-0.002198,0.004494,-0.023476
6.140468,0.000798,-0.019060,0.001440,-0.001112,0.002142,-0.002142,0.004380,-0.022315
6.220736,0.000778,-0.018089,0.001402,-0.001060,0.002088,-0.002088,0.004268,-0.021237
6.301003,0.000759,-0.017189,0.001365,-0.001012,0.002035,-0.002035,0.004158,-0.020235
6.381271,0.000740,-0.016352,0.001328,-0.000966,0.001983,-0.001983,0.004051,-0.019301
6.461538,0.000721,-0.015573,0.001293,-0.000924,0.001932,-0.001932,0.003947,-0.018429
6.541806,0.000703,-0.014846,0.001258,-0.000884,0.001883,-0.001883,0.003844,-0.017613
6.622074,0.000685,-0.014167,0.001225,-0.000846,0.001834,-0.001834,0.003744,-0.016847
6.702341,0.000668,-0.013532,0.001192,-0.000810,0.001786,-0.001786,0.003646,-0.016128
6.782609,0.000651,-0.012936,0.001160,-0.000777,0.001740,-0.001740,0.003550,-0.015452
6.862876,0.000634,-0.012376,0.001128,-0.000745,0.001694,-0.001694,0.003456,-0.014815
6.943144,0.000618,-0.011850,0.001097,-0.000715,0.001649,-0.001649,0.003364,-0.014214
7.023411,0.000602,-0.011354,0.001067,-0.000686,0.001606,-0.001606,0.003275,-0.013646
7.103679,0.000586,-0.010887,0.001038,-0.000659,0.001563,-0.001563,0.003186,-0.013108
7.183946,0.000571,-0.010446,0.001009,-0.000633,0.001521,-0.001521,0.003100,-0.012599
7.264214,0.000556,-0.010030,0.000981,-0.000608,0.001479,-0.001479,0.003016,-0.012117
7.344482,0.000541,-0.009636,0.000953,-0.000584,0.001439,-0.001439,0.002933,-0.011659
7.424749,0.000526,-0.009263,0.000926,-0.000561,0.001399,-0.001399,0.002852,-0.011223
7.505017,0.000512,-0.008909,0.000900,-0.000539,0.001361,-0.001361,0.002772,-0.010809
7.585284,0.000498,-0.008574,0.000874,-0.000518,0.001323,-0.001323,0.002694,-0.010415
7.665552,0.000484,-0.008256,0.000849,-0.000498,0.001285,-0.001285,0.002618,-0.010039
7.745819,0.000471,-0.007953,0.000824,-0.000479,0.001249,-0.001249,0.002543,-0.009681
7.826087,0.000457,-0.007666,0.000800,-0.000461,0.001213,-0.001213,0.002470,-0.009339
7.906355,0.000444,-0.007393,0.000776,-0.000443,0.001178,-0.001178,0.002398,-0.009013
7.986622,0.000432,-0.007133,0.000752,-0.000426,0.001143,-0.001143,0.002327,-0.008701
8.066890,0.000419,-0.006885,0.000730,-0.000409,0.001109,-0.001109,0.002258,-0.008403
