E,dup,ddn,pup,pdn,octup,octdn,totup,totdn
2.127090,0.127189,-0.352171,0.030563,-0.049716,0.007989,-0.007989,0.165741,-0.409876
2.207358,0.132998,-0.321098,0.032113,-0.044489,0.007798,-0.007798,0.172909,-0.373386
2.287625,0.139947,-0.293228,0.034091,-0.039986,0.007613,-0.007613,0.181651,-0.340826
2.367893,0.148109,-0.268669,0.036564,-0.036191,0.007433,-0.007433,0.192106,-0.312293
2.448161,0.157558,-0.247420,0.039608,-0.033072,0.007258,-0.007258,0.204424,-0.287750
2.528428,0.168362,-0.229397,0.043309,-0.030584,0.007088,-0.007088,0.218759,-0.267068
2.608696,0.180580,-0.214461,0.047758,-0.028677,0.006922,-0.006922,0.235261,-0.250060
2.688963,0.194249,-0.202450,0.053048,-0.027303,0.006761,-0.006761,0.254058,-0.236514
2.769231,0.209375,-0.193195,0.059267,-0.026422,0.006604,-0.006604,0.275246,-0.226221
2.849498,0.225929,-0.186541,0.066487,-0.026001,0.006451,-0.006451,0.298867,-0.218994
2.929766,0.243830,-0.182359,0.074756,-0.026022,0.006303,-0.006303,0.324888,-0.214684
3.010033,0.262938,-0.180553,0.084083,-0.026479,0.006158,-0.006158,0.353179,-0.213190
3.090301,0.283049,-0.181066,0.094428,-0.027380,0.006017,-0.006017,0.383494,-0.214463
3.170569,0.303886,-0.183876,0.105690,-0.028748,0.005879,-0.005879,0.415455,-0.218503
3.250836,0.325098,-0.188999,0.117696,-0.030619,0.005745,-0.005745,0.448539,-0.225363
3.331104,0.346268,-0.196478,0.130199,-0.033041,0.005614,-0.005614,0.482082,-0.235133
3.411371,0.366921,-0.206375,0.142879,-0.036071,0.005487,-0.005487,0.515286,-0.247933
3.491639,0.386535,-0.218759,0.155349,-0.039775,0.005362,-0.005362,0.547247,-0.263896
3.571906,0.404570,-0.233689,0.167180,-0.044215,0.005241,-0.005241,0.576991,-0.283145
3.652174,0.420486,-0.251193,0.177914,-0.049453,0.005123,-0.005123,0.603522,-0.305769
3.732441,0.433773,-0.271253,0.187101,-0.055533,0.005007,-0.005007,0.625881,-0.331793
3.812709,0.443982,-0.293776,0.194331,-0.062477,0.004894,-0.004894,0.643208,-0.361147
3.892977,0.450751,-0.318576,0.199262,-0.070273,0.004784,-0.004784,0.654797,-0.393634
3.973244,0.453823,-0.345355,0.201650,-0.078867,0.004677,-0.004677,0.660150,-0.428898
4.053512,0.453070,-0.373686,0.201372,-0.088149,0.004572,-0.004572,0.659013,-0.466407
