E,dup,ddn,pup,pdn,octup,octdn,totup,totdn
3.090301,0.526959,-0.526959,0.090973,-0.090973,0.011656,-0.011656,0.629588,-0.629588
3.170569,0.521878,-0.521878,0.093196,-0.093196,0.011366,-0.011366,0.626440,-0.626440
3.250836,0.516874,-0.516874,0.095325,-0.095325,0.011085,-0.011085,0.623284,-0.623284
3.331104,0.511802,-0.511802,0.097270,-0.097270,0.010811,-0.010811,0.619884,-0.619884
3.411371,0.506517,-0.506517,0.098946,-0.098946,0.010546,-0.010546,0.616008,-0.616008
3.491639,0.500879,-0.500879,0.100274,-0.100274,0.010287,-0.010287,0.611440,-0.611440
3.571906,0.494761,-0.494761,0.101185,-0.101185,0.010036,-0.010036,0.605982,-0.605982
3.652174,0.488052,-0.488052,0.101622,-0.101622,0.009792,-0.009792,0.599466,-0.599466
3.732441,0.480661,-0.480661,0.101544,-0.101544,0.009554,-0.009554,0.591759,-0.591759
3.812709,0.472519,-0.472519,0.100923,-0.100923,0.009323,-0.009323,0.582765,-0.582765
3.892977,0.463580,-0.463580,0.099751,-0.099751,0.009097,-0.009097,0.572428,-0.572428
3.973244,0.453824,-0.453824,0.098032,-0.098032,0.008878,-0.008878,0.560734,-0.560734
4.053512,0.443256,-0.443256,0.095790,-0.095790,0.008665,-0.008665,0.547710,-0.547710
4.133779,0.431903,-0.431903,0.093061,-0.093061,0.008456,-0.008456,0.533420,-0.533420
4.214047,0.419814,-0.419814,0.089893,-0.089893,0.008254,-0.008254,0.517961,-0.517961
4.294314,0.407058,-0.407058,0.086346,-0.086346,0.008056,-0.008056,0.501460,-0.501460
4.374582,0.393717,-0.393717,0.082486,-0.082486,0.007863,-0.007863,0.484066,-0.484066
4.454849,0.379888,-0.379888,0.078382,-0.078382,0.007676,-0.007676,0.465946,-0.465946
4.535117,0.365676,-0.365676,0.074107,-0.074107,0.007492,-0.007492,0.447275,-0.447275
4.615385,0.351190,-0.351190,0.069731,-0.069731,0.007314,-0.007314,0.428234,-0.428234
4.695652,0.336541,-0.336541,0.065321,-0.065321,0.007139,-0.007139,0.409001,-0.409001
4.775920,0.321839,-0.321839,0.060939,-0.060939,0.006969,-0.006969,0.389746,-0.389746
4.856187,0.307188,-0.307188,0.056639,-0.056639,0.006803,-0.006803,0.370630,-0.370630
4.936455,0.292686,-0.292686,0.052469,-0.052469,0.006641,-0.006641,0.351796,-0.351796
5.016722,0.278423,-0.278423,0.048467,-0.048467,0.006482,-0.006482,0.333373,-0.333373
5.096990,0.264478,-0.264478,0.044662,-0.044662,0.006328,-0.006328,0.315468,-0.315468
5.177258,0.250918,-0.250918,0.041076,-0.041076,0.006176,-0.006176,0.298171,-0.298171
5.257525,0.237800,-0.237800,0.037723,-0.037723,0.006029,-0.006029,0.281551,-0.281551
5.337793,0.225169,-0.225169,0.034608,-0.034608,0.005884,-0.005884,0.265661,-0.265661
5.418060,0.213058,-0.213058,0.031734,-0.031734,0.005743,-0.005743,0.250535,-0.250535
5.498328,0.201492,-0.201492,0.029095,-0.029095,0.005605,-0.005605,0.236192,-0.236192
5.578595,0.190484,-0.190484,0.026684,-0.026684,0.005470,-0.005470,0.222638,-0.222638
5.658863,0.180039,-0.180039,0.024489,-0.024489,0.005338,-0.005338,0.209866,-0.209866
5.739130,0.170156,-0.170156,0.022497,-0.022497,0.005209,-0.005209,0.197862,-0.197862
5.819398,0.160827,-0.160827,0.020693,-0.020693,0.005083,-0.005083,0.186603,-0.186603
5.899666,0.152037,-0.152037,0.019063,-0.019063,0.004959,-0.004959,0.176059,-0.176059
5.979933,0.143770,-0.143770,0.017590,-0.017590,0.004839,-0.004839,0.166199,-0.166199
6.060201,0.136006,-0.136006,0.016261,-0.016261,0.004720,-0.004720,0.156986,-0.156986
6.140468,0.128720,-0.128720,0.015060,-0.015060,0.004604,-0.004604,0.148385,-0.148385
6.220736,0.121890,-0.121890,0.013975,-0.013975,0.004491,-0.004491,0.140356,-0.140356
6.301003,0.115490,-0.115490,0.012994,-0.012994,0.004380,-0.004380,0.132863,-0.132863
6.381271,0.109494,-0.109494,0.012104,-0.012104,0.004271,-0.004271,0.125869,-0.125869
6.461538,0.103879,-0.103879,0.011296,-0.011296,0.004164,-0.004164,0.119339,-0.119339
6.541806,0.098618,-0.098618,0.010562,-0.010562,0.004060,-0.004060,0.113240,-0.113240
6.622074,0.093690,-0.093690,0.009892,-0.009892,0.003958,-0.003958,0.107539,-0.107539
6.702341,0.089070,-0.089070,0.009279,-0.009279,0.003857,-0.003857,0.102207,-0.102207
6.782609,0.084738,-0.084738,0.008718,-0.008718,0.003759,-0.003759,0.097215,-0.097215
6.862876,0.080674,-0.080674,0.008202,-0.008202,0.003663,-0.003663,0.092538,-0.092538
6.943144,0.076857,-0.076857,0.007727,-0.007727,0.003568,-0.003568,0.088152,-0.088152
7.023411,0.073271,-0.073271,0.007288,-0.007288,0.003476,-0.003476,0.084035,-0.084035
7.103679,0.069900,-0.069900,0.006882,-0.006882,0.003385,-0.003385,0.080167,-0.080167
7.183946,0.066727,-0.066727,0.006506,-0.006506,0.003296,-0.003296,0.076528,-0.076528
7.264214,0.063738,-0.063738,0.006156,-0.006156,0.003208,-0.003208,0.073102,-0.073102
7.344482,0.060921,-0.060921,0.005829,-0.005829,0.003123,-0.003123,0.069873,-0.069873
7.424749,0.058264,-0.058264,0.005525,-0.005525,0.003038,-0.003038,0.066827,-0.066827
7.505017,0.055755,-0.055755,0.005240,-0.005240,0.002956,-0.002956,0.063950,-0.063950
